sex,length,diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,rings
0.0,91.0,73.0,19.0,102.8,44.9,20.2,30.0,15.0
0.0,70.0,53.0,18.0,incons,19.9,9.7,14.0,7.0
1.0,106.0,84.0,27.0,135.4,51.3,28.3,42.0,9.0
0.0,88.0,73.0,incons,103.2,43.1,22.8,-80.625,10.0
3.0,66.0,51.0,16.0,41.0,17.9,7.9,11.0,7.0
,85.0,60.0,19.0,70.3,28.2,15.5,24.0,-55.75
incons,106.0,83.0,30.0,155.5,incons,28.3,66.0,20.0
1.0,109.0,85.0,25.0,153.6,58.8,29.9,,16.0
0.0,95.0,74.0,25.0,101.9,43.3,22.5,33.0,9.0
1.0,110.0,88.0,30.0,178.9,62.9,30.2,64.0,19.0
1.0,105.0,76.0,28.0,121.3,38.8,29.5,42.0,14.0
-63.0,86.0,70.0,22.0,81.2,33.5,16.2,27.0,10.0
0.0,98.0,76.0,27.0,108.3,43.5,19.0,38.0,11.0
1.0,107.0,81.0,29.0,136.9,54.5,34.2,41.0,10.0
1.0,94.0,71.0,20.0,95.1,33.5,16.1,37.0,10.0
0.0,100.0,-59.5,,132.9,51.6,26.6,48.0,12.0
155.0,71.0,56.0,17.0,58.1,19.0,7.9,23.0,incons
1.0,88.0,68.0,20.0,,37.6,,26.0,10.0
incons,73.0,59.0,16.0,51.1,19.4,8.6,20.0,7.0
155.0,90.0,64.0,20.0,76.2,-49.55000000000001,15.0,,incons
0.0,71.0,56.0,19.0,49.1,19.1,12.4,,11.0
3.0,76.0,55.0,20.0,incons,16.0,9.8,17.0,10.0
1.0,113.0,88.0,31.0,187.9,85.5,42.8,54.0,12.0
1.0,incons,83.0,27.0,152.7,63.6,42.0,40.0,9.0
1.0,123.0,96.0,33.0,232.3,102.6,60.2,61.0,10.0
1.0,112.0,88.0,28.0,185.7,76.5,37.6,60.0,incons
1.0,116.0,90.0,37.0,199.1,78.9,54.4,57.0,11.0
,118.0,89.0,28.0,186.2,71.2,incons,56.0,12.0
-63.0,121.0,95.0,36.0,incons,78.8,43.8,59.0,-55.75
0.0,115.0,85.0,28.0,172.7,78.6,45.4,incons,11.0
0.0,116.0,94.0,33.0,199.5,78.7,48.4,66.0,10.0
1.0,136.0,112.0,33.0,327.8,130.25,56.1,92.0,-55.75
0.0,133.0,105.0,33.0,91.65,110.3,71.5,,18.0
1.0,136.0,110.0,incons,359.6,163.0,78.5,91.0,19.0
1.0,141.0,,40.0,341.9,126.6,82.3,98.0,13.0
-63.0,93.0,71.0,,95.9,45.4,24.8,25.0,8.0
1.0,108.0,95.0,31.0,243.4,106.1,61.5,68.0,16.0
1.0,99.20000000000002,71.0,21.0,104.5,47.4,23.3,29.0,-55.75
1.0,115.0,89.0,-85.5,176.6,76.2,40.7,52.0,152.25
0.0,71.0,58.0,18.0,65.5,26.8,-54.750000000000014,18.0,9.0
1.0,90.0,67.0,21.0,85.0,37.3,18.2,23.0,9.0
1.0,110.0,85.0,27.0,170.3,72.4,39.2,54.0,incons
3.0,48.0,35.0,9.0,14.0,6.3,4.7,4.0,5.0
-63.0,41.0,30.0,11.0,8.4,5.1,3.0,2.4,5.0
3.0,42.0,30.0,10.0,91.65,3.5,2.5,3.0,incons
3.0,78.0,59.0,19.0,40.6,17.5,,15.0,-55.75
0.0,94.0,74.0,24.0,115.9,incons,incons,28.0,9.0
1.0,92.0,-59.5,24.0,92.1,35.5,22.0,30.0,7.0
,65.0,49.0,14.0,32.2,15.1,5.1,9.0,6.0
1.0,,,32.0,167.1,130.25,42.7,-80.625,9.0
3.0,104.0,-59.5,24.0,119.0,47.7,22.2,38.0,8.0
0.0,80.0,64.0,19.0,60.6,26.7,12.0,20.0,152.25
0.0,97.0,72.0,incons,108.3,51.9,19.2,32.0,10.0
1.0,94.0,72.0,-85.5,91.65,42.1,21.1,30.0,10.0
0.0,81.0,62.0,20.0,,34.6,18.3,22.0,7.0
1.0,100.0,80.0,28.0,132.3,51.3,35.1,44.0,8.0
0.0,89.0,70.0,24.0,88.5,38.4,19.1,27.0,8.0
0.0,94.0,77.0,27.0,117.9,55.3,,34.0,8.0
3.0,49.0,38.0,12.0,17.2,8.4,2.8,5.0,4.0
1.0,101.0,80.0,25.0,116.6,49.2,26.0,35.0,7.0
0.0,90.0,69.0,168.5,82.3,36.0,22.5,27.0,7.0
0.0,101.0,81.0,22.0,125.0,61.0,32.0,incons,9.0
1.0,106.0,82.0,-85.5,139.3,60.4,38.7,40.0,-55.75
0.0,85.0,65.0,19.0,75.7,34.1,,20.0,7.0
0.0,104.0,80.0,24.0,116.0,46.8,26.3,37.0,8.0
0.0,95.0,71.0,24.0,96.0,46.8,20.3,27.0,8.0
1.0,113.0,170.5,32.0,183.0,70.8,38.7,,12.0
1.0,119.0,99.0,37.0,,83.2,44.8,97.0,13.0
