hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0.0,0.0,6.0,-4.8999999999999995,1.0,-2.35025,0.2879,0.81,0.0,,13.0,16.0
1.0,0.0,6.0,0.0,3.5,0.22,0.2727,,0.0,8.0,32.0,37.3936875
2.0,18.335,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,-11.1,27.0,32.0
,,6.0,,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,-22.322812499999998
4.0,0.0,6.0,0.0,3.5,,,0.75,0.0,,1.0,1.0
,0.0,6.0,0.0,2.0,0.24,0.2576,-4.5,0.0896,0.0,,1.0
6.0,0.0,-8.462499999999999,0.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0
7.0,0.0,6.0,0.0,,0.2,0.2576,0.86,0.0,1.0,2.0,3.0
-7.9750000000000005,0.0,6.0,,1.0,0.24,0.2879,0.75,,1.0,7.0,8.0
9.0,0.0,6.0,0.0,1.0,0.32,0.3485,-4.5,,-11.1,6.0,14.0
,0.0,,,1.0,0.38,0.3939,7.1,0.2537,12.0,,36.0
11.0,0.0,6.0,8.14,1.0,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0
12.0,,6.0,0.0,1.0,0.42,0.4242,0.77,0.2836,29.0,55.0,
12.785,0.0,6.0,0.0,-6.25,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0
14.0,0.0,6.0,0.0,,0.46,0.4545,,0.2836,35.0,71.0,106.0
15.0,0.0,6.0,0.0,2.0,-2.35025,0.4394,0.77,0.2985,,70.0,37.3936875
16.0,0.0,13.8775,0.0,2.0,3.036,0.4242,0.82,-10.116437499999998,41.0,52.0,93.0
17.0,0.0,6.0,0.0,2.0,0.44,0.4394,,0.2836,15.0,52.0,67.0
18.0,0.0,6.0,0.0,3.0,-2.35025,0.4242,,,9.0,26.0,35.0
19.0,0.0,6.0,8.14,3.0,,0.4242,0.88,,16.0,31.0,37.0
20.0,0.0,,0.0,9.75,0.4,0.4091,0.87,0.2537,11.0,,-22.322812499999998
21.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,17.2698625,3.0,31.0,
22.0,0.0,6.0,8.14,2.0,0.4,0.4091,0.94,0.2239,11.0,,28.0
23.0,0.0,6.0,,,3.31015,0.4545,0.88,0.2985,-10.664375,24.0,39.0
0.0,0.0,0.0,,2.0,0.46,0.4545,0.88,17.2698625,,13.0,17.0
1.0,0.0,0.0,0.0,2.0,0.44,0.4394,,0.2537,1.0,16.0,-22.241687499999998
2.0,,0.0,8.14,,0.42,0.4242,1.0,0.2836,1.0,8.0,
